"Date","Open","High","Low","Close","Adj Close","Volume"
"Apr 30, 2021",4198.1,4198.1,4174.85,4181.17,4181.17,4273680000
"Apr 29, 2021",4206.14,4218.78,4176.81,4211.47,4211.47,4288940000
"Apr 28, 2021",4185.14,4201.53,4181.78,4183.18,4183.18,3772390000
"Apr 27, 2021",4188.25,4193.35,4176.22,4186.72,4186.72,3703240000
"Apr 26, 2021",4185.03,4194.19,4182.36,4187.62,4187.62,3738920000
"Apr 23, 2021",4138.78,4194.17,4138.78,4180.17,4180.17,3568080000
"Apr 22, 2021",4170.46,4179.57,4123.69,4134.98,4134.98,4235040000
"Apr 21, 2021",4128.42,4175.02,4126.35,4173.42,4173.42,3865820000
"Apr 20, 2021",4159.18,4159.18,4118.38,4134.94,4134.94,4338230000
"Apr 19, 2021",4179.8,4180.81,4150.47,4163.26,4163.26,3788020000
"Apr 16, 2021",4174.14,4191.31,4170.75,4185.47,4185.47,4157430000
"Apr 15, 2021",4139.76,4173.49,4139.76,4170.42,4170.42,4027680000
"Apr 14, 2021",4141.58,4151.69,4120.87,4124.66,4124.66,3976540000
"Apr 13, 2021",4130.1,4148,4124.43,4141.59,4141.59,3728440000
"Apr 12, 2021",4124.71,4131.76,4114.82,4127.99,4127.99,3578500000
"Apr 09, 2021",4096.11,4129.48,4095.51,4128.8,4128.8,3634910000
"Apr 08, 2021",4089.95,4098.19,4082.54,4097.17,4097.17,3901910000
"Apr 07, 2021",4074.29,4083.13,4068.31,4079.95,4079.95,4112640000
"Apr 06, 2021",4075.57,4086.23,4068.14,4073.94,4073.94,4027880000
"Apr 05, 2021",4034.44,4083.42,4034.44,4077.91,4077.91,3999760000
"Apr 01, 2021",3992.78,4020.63,3992.78,4019.87,4019.87,4151240000
"Mar 31, 2021",3967.25,3994.41,3966.98,3972.89,3972.89,4564980000
"Mar 30, 2021",3963.34,3968.01,3944.35,3958.55,3958.55,4103570000
"Mar 29, 2021",3969.31,3981.83,3943.25,3971.09,3971.09,4619840000
"Mar 26, 2021",3917.12,3978.19,3917.12,3974.54,3974.54,5467850000
"Mar 25, 2021",3879.34,3919.54,3853.5,3909.52,3909.52,4940800000
"Mar 24, 2021",3919.93,3942.08,3889.07,3889.14,3889.14,4766990000
"Mar 23, 2021",3937.6,3949.13,3901.57,3910.52,3910.52,4645340000
"Mar 22, 2021",3916.48,3955.31,3914.16,3940.59,3940.59,4311380000
"Mar 19, 2021",3913.14,3930.12,3886.75,3913.1,3913.1,7725050000
"Mar 18, 2021",3953.5,3969.62,3910.86,3915.46,3915.46,4043170000
"Mar 17, 2021",3949.57,3983.87,3935.74,3974.12,3974.12,4541620000
"Mar 16, 2021",3973.59,3981.04,3953.44,3962.71,3962.71,4604870000
"Mar 15, 2021",3942.96,3970.08,3923.54,3968.94,3968.94,4882190000
"Mar 12, 2021",3924.52,3944.99,3915.21,3943.34,3943.34,4469240000
"Mar 11, 2021",3915.54,3960.27,3915.54,3939.34,3939.34,5300010000
"Mar 10, 2021",3891.99,3917.35,3885.73,3898.81,3898.81,5827250000
"Mar 09, 2021",3851.93,3903.76,3851.93,3875.44,3875.44,5496340000
"Mar 08, 2021",3844.39,3881.06,3819.25,3821.35,3821.35,5852240000
"Mar 05, 2021",3793.58,3851.69,3730.19,3841.94,3841.94,6842570000
"Mar 04, 2021",3818.53,3843.67,3723.34,3768.47,3768.47,7142240000
"Mar 03, 2021",3863.99,3874.47,3818.86,3819.72,3819.72,6150790000
